ID,Name,Birth Place,Date of Birth
7,Tajei Pogacar,Slovenia,23/1/2001
14,George Bennett,New Zealand,14/2/1997
4,Mikkel Bjerg ,Denmark,19/4/2002
29,Vegard Stake Laengen,Norway,27/8/1989
6,Rafa Majka,Poland,25/7/1991
15,Brandon Machy,United States,20/4/1992
11,Marc Soler,Spain,22/4/2001
1,Marc Hirschi ,Switzerland,13/1/1984
28,Primo Rogli,Slovenia,15/4/1988
5,Tiesj Benoot,Belgium,26/3/1989
8,Steven Kruijswijk,Netherlands,17/4/2002
7,Sepp Kuss,United Sates,15/7/2000
10,Christophe Laporte,France,28/2/1995
2,Wout van Aert,Belgium,19/4/2001
30,Nathan Van Hooydonck,Belgium,24/5/1987
28,Jonas Vingegaard,Denmark,11/01/01
3,Geraint Thomas,Great Britain,14/3/1999
16,Daniel Felipe Martinez,Colombia,15/4/1988
